payment_id,expected_status,expected_exception
PAY0001,MATCHED,
PAY0002,MATCHED,
PAY0003,MATCHED,
PAY0004,MATCHED,
PAY0005,MATCHED,
PAY0006,MATCHED,
PAY0007,MATCHED,
PAY0008,MATCHED,
PAY0009,MATCHED,
PAY0010,MATCHED,
PAY0011,MATCHED,
PAY0012,MATCHED,
PAY0013,MATCHED,
PAY0014,MATCHED,
PAY0015,MATCHED,
PAY0016,MATCHED,
PAY0017,MATCHED,
PAY0018,MATCHED,
PAY0019,MATCHED,
PAY0020,EXCEPTION,MISSING_SETTLEMENT
PAY0021,MATCHED,
PAY0022,MATCHED,
PAY0023,MATCHED,
PAY0024,MATCHED,
PAY0025,MATCHED,
PAY0026,MATCHED,
PAY0027,MATCHED,
PAY0028,MATCHED,
PAY0029,MATCHED,
PAY0030,EXCEPTION,BANK_AMOUNT_MISMATCH
PAY0031,MATCHED,
PAY0032,MATCHED,
PAY0033,MATCHED,
PAY0034,MATCHED,
PAY0035,MATCHED,
PAY0036,MATCHED,
PAY0037,MATCHED,
PAY0038,MATCHED,
PAY0039,MATCHED,
PAY0040,EXCEPTION,UTR_MISMATCH
PAY0041,MATCHED,
PAY0042,MATCHED,
PAY0043,MATCHED,
PAY0044,MATCHED,
PAY0045,MATCHED,
PAY0046,MATCHED,
PAY0047,MATCHED,
PAY0048,MATCHED,
PAY0049,MATCHED,
PAY0050,EXCEPTION,DUPLICATE_BANK_TRANSACTION
PAY0051,MATCHED,
PAY0052,MATCHED,
PAY0053,MATCHED,
PAY0054,MATCHED,
PAY0055,MATCHED,
PAY0056,MATCHED,
PAY0057,MATCHED,
PAY0058,MATCHED,
PAY0059,MATCHED,
PAY0060,EXCEPTION,DATE_MISMATCH
PAY0061,MATCHED,
PAY0062,MATCHED,
PAY0063,MATCHED,
PAY0064,MATCHED,
PAY0065,MATCHED,
PAY0066,MATCHED,
PAY0067,MATCHED,
PAY0068,MATCHED,
PAY0069,MATCHED,
PAY0070,EXCEPTION,FEE_MISMATCH
PAY0071,MATCHED,
PAY0072,MATCHED,
PAY0073,MATCHED,
PAY0074,MATCHED,
PAY0075,MATCHED,
PAY0076,MATCHED,
PAY0077,MATCHED,
PAY0078,MATCHED,
PAY0079,MATCHED,
PAY0080,MATCHED,
PAY0081,MATCHED,
PAY0082,MATCHED,
PAY0083,MATCHED,
PAY0084,MATCHED,
PAY0085,MATCHED,
PAY0086,MATCHED,
PAY0087,MATCHED,
PAY0088,MATCHED,
PAY0089,MATCHED,
PAY0090,MATCHED,
PAY0091,MATCHED,
PAY0092,MATCHED,
PAY0093,MATCHED,
PAY0094,MATCHED,
PAY0095,MATCHED,
PAY0096,MATCHED,
PAY0097,MATCHED,
PAY0098,MATCHED,
PAY0099,MATCHED,
PAY0100,MATCHED,
